profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Object,Right holder name,Rights Management Information,"",n,y,authority,organization/local; person/local,collectionobject,rightHolder
lhmc_7-0-0,Object,Right holder contact,Rights Management Information,"",n,y,authority,organization/local; person/local,collectionobject,rightHolderContact
lhmc_7-0-0,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
lhmc_7-0-0,Conservation,Conservator,Conservation Treatment Information,"",y,n,authority,person/local; organization/local,conservation,conservator
lhmc_7-0-0,Conservation,Other treatment party name,Conservation Treatment Information,"",n,y,authority,person/local; organization/local,conservation,otherParty
lhmc_7-0-0,Exhibition,Sponsor,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,sponsor
lhmc_7-0-0,Exhibition,Organizer,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,organizer
lhmc_7-0-0,Exhibition,Venue name,Exhibition Information,"",n,y,authority,organization/local; organization/ulan; location/local; location/offsite; place/local; place/tgn,exhibition,venue
lhmc_7-0-0,Exhibition,Working group member name,Exhibition Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,exhibitionPerson
lhmc_7-0-0,Exhibition,Bibliographic reference,Exhibition Information,"",n,y,authority,citation/local; citation/worldcat,exhibition,exhibitionReference
lhmc_7-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
lhmc_7-0-0,Intake,Source,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
lhmc_7-0-0,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
lhmc_7-0-0,Intake,Insurance company,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
lhmc_7-0-0,Intake,Interim location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; place/local,intake,currentLocation
lhmc_7-0-0,Intake,Condition check by,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
lhmc_7-0-0,Loan In,Loan status authorizer,Loan In Information,"",n,y,authority,person/local; person/ulan,loanin,loaninStatusAuthorizerLHMC
lhmc_7-0-0,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
lhmc_7-0-0,Loan Out,Loan status authorizer,Loan Out Information,"",n,y,authority,person/local; person/ulan; organization/local,loanout,loanoutStatusAuthorizerLHMC
lhmc_7-0-0,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
lhmc_7-0-0,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
lhmc_7-0-0,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
lhmc_7-0-0,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
lhmc_7-0-0,Person,Publication name,Person Information,"",n,y,authority,citation/local; citation/worldcat,person,publicationsPerson
lhmc_7-0-0,Person,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,person,assocPerson
lhmc_7-0-0,Person,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPersonCitation
lhmc_7-0-0,Person,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPeopleCitation
lhmc_7-0-0,Person,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,person,assocOrganization
lhmc_7-0-0,Person,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocOrganizationCitation
lhmc_7-0-0,Person,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,person,assocConcept
lhmc_7-0-0,Person,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocConceptCitation
lhmc_7-0-0,Person,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,person,assocPlace
lhmc_7-0-0,Person,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPlaceCitation
lhmc_7-0-0,Person,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,person,assocChronology
lhmc_7-0-0,Person,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocChronologyCitation
lhmc_7-0-0,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
lhmc_7-0-0,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
lhmc_7-0-0,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
lhmc_7-0-0,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
lhmc_7-0-0,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
lhmc_7-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
lhmc_7-0-0,Place,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,place,assocPerson
lhmc_7-0-0,Place,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPersonCitation
lhmc_7-0-0,Place,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPeopleCitation
lhmc_7-0-0,Place,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,place,assocOrganization
lhmc_7-0-0,Place,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocOrganizationCitation
lhmc_7-0-0,Place,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,place,assocConcept
lhmc_7-0-0,Place,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocConceptCitation
lhmc_7-0-0,Place,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,place,assocPlace
lhmc_7-0-0,Place,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPlaceCitation
lhmc_7-0-0,Place,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event,place,assocChronology
lhmc_7-0-0,Place,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocChronologyCitation
lhmc_7-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
lhmc_7-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
lhmc_7-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
lhmc_7-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
lhmc_7-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
lhmc_7-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
lhmc_7-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
lhmc_7-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
lhmc_7-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
lhmc_7-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
lhmc_7-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
lhmc_7-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
anthro_8-0-0,Acquisition,Acquisition source,Acquisition Information,"",y,n,authority,person/local; organization/local,acquisition,acquisitionSource
anthro_8-0-0,Acquisition,Owner,Acquisition Information,"",y,n,authority,person/local; organization/local,acquisition,owner
anthro_8-0-0,Acquisition,Funding source,Acquisition Information,"",n,y,authority,person/local; organization/local,acquisition,acquisitionFundingSource
anthro_8-0-0,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
anthro_8-0-0,Citation,Publication place,Citation Information,"",n,y,authority,place/local; place/tgn,citation,publicationPlace
anthro_8-0-0,Citation,Agent name,Citation Information,"",n,y,authority,person/local; person/ulan; organization/local,citation,agent
anthro_8-0-0,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/activity; concept/material,citation,relatedTerm
anthro_8-0-0,Chronology,Term source name,Chronology Information,Source,n,y,authority,citation/local; citation/worldcat,chronology,termSource
anthro_8-0-0,Chronology,Spatial coverage,Chronology Information,"",y,n,authority,place/local; place/tgn,chronology,spatialCoverage
anthro_8-0-0,Chronology,Resource identifier citation,Chronology Information,"",n,y,authority,citation/local; citation/worldcat,chronology,identifierCitation
anthro_8-0-0,Chronology,Alternative date spatial coverage,Alternative Date Information,"",y,as part of larger repeating group,authority,place/local; place/tgn,chronology,altDateSpatialCoverage
anthro_8-0-0,Chronology,Alternative date citation,Alternative Date Information,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,altDateCitation
anthro_8-0-0,Chronology,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,chronology,assocPerson
anthro_8-0-0,Chronology,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocPersonCitation
anthro_8-0-0,Chronology,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocPeopleCitation
anthro_8-0-0,Chronology,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,chronology,assocOrganization
anthro_8-0-0,Chronology,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocOrganizationCitation
anthro_8-0-0,Chronology,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion; concept/archculture,chronology,assocConcept
anthro_8-0-0,Chronology,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocConceptCitation
anthro_8-0-0,Chronology,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,chronology,assocPlace
anthro_8-0-0,Chronology,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocPlaceCitation
anthro_8-0-0,Chronology,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event; chronology/fieldcollection,chronology,assocChronology
anthro_8-0-0,Chronology,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocChronologyCitation
anthro_8-0-0,Object,Object count counted by,Object Identification Information,"",n,y,authority,person/local; person/ulan,collectionobject,objectCountCountedBy
anthro_8-0-0,Object,Measured by,Object Identification Information,"",n,y,authority,person/local; organization/local,collectionobject,measuredBy
anthro_8-0-0,Object,Field collection place,Object Collection Information,"",y,n,authority,place/local; place/tgn,collectionobject,fieldCollectionPlace
anthro_8-0-0,Object,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,collectionobject,fieldCollector
anthro_8-0-0,Object,Field collection event,Object Collection Information,"",y,n,authority,chronology/fieldcollection; chronology/event,collectionobject,fieldCollectionEvent
anthro_8-0-0,Object,Production place,Object Production Information,"",n,y,authority,place/local; place/tgn,collectionobject,objectProductionPlace
anthro_8-0-0,Object,Production cultural group,Object Production Information,"",n,y,authority,concept/archculture; concept/ethculture,collectionobject,objectProductionPeople
anthro_8-0-0,Object,Cultural determination culture,Repatriation and NAGPRA Compliance Information,"",n,y,authority,concept/ethculture; concept/archculture,collectionobject,nagpraDetermCulture
anthro_8-0-0,Object,Cultural determination by,Repatriation and NAGPRA Compliance Information,"",n,y,authority,person/local; organization/local,collectionobject,nagpraDetermBy
anthro_8-0-0,Object,NAGPRA report filed with,Repatriation and NAGPRA Compliance Information,"",n,y,authority,person/local; organization/local,collectionobject,nagpraReportFiledWith
anthro_8-0-0,Object,NAGPRA report filed by,Repatriation and NAGPRA Compliance Information,"",n,y,authority,person/local; organization/local,collectionobject,nagpraReportFiledBy
anthro_8-0-0,Object,Taxonomic identification by,Object Description Information,Biological Information > Identification by,n,y,authority,person/local; organization/local,collectionobject,identBy
anthro_8-0-0,Object,Content concept,Object Description Information,Content,y,n,authority,concept/associated; concept/material,collectionobject,contentConcept
anthro_8-0-0,Object,Content person,Object Description Information,Content,y,n,authority,person/local; person/ulan,collectionobject,contentPerson
anthro_8-0-0,Object,Content organization,Object Description Information,Content,y,n,authority,organization/local; organization/ulan,collectionobject,contentOrganization
anthro_8-0-0,Object,Content controlled event or period/era,Object Description Information,Content,y,n,authority,chronology/event; chronology/era,collectionobject,contentEvent
anthro_8-0-0,Object,Textual inscription inscriber,Object Description Information,Textual Inscription,n,y,authority,person/local; organization/local,collectionobject,inscriptionContentInscriber
anthro_8-0-0,Object,Non-textual inscription inscriber,Object Description Information,Non-Textual Inscription,n,y,authority,person/local; organization/local,collectionobject,inscriptionDescriptionInscriber
anthro_8-0-0,Object,Associated controlled event or period/era,Object History and Association Information,Associations,y,n,authority,chronology/event; chronology/era,collectionobject,assocEvent
anthro_8-0-0,Object,Previous owner name,Object History and Association Information,"",n,y,authority,person/local; organization/local,collectionobject,anthroOwner
anthro_8-0-0,Object,Reference,Bibliographic Reference Information,Bibliographic Reference Information,n,y,authority,citation/local; citation/worldcat,collectionobject,reference
anthro_8-0-0,Object,Right holder name,Rights Management Information,"",n,y,authority,organization/local; person/local,collectionobject,rightHolder
anthro_8-0-0,Object,Right holder contact,Rights Management Information,"",n,y,authority,organization/local; person/local,collectionobject,rightHolderContact
anthro_8-0-0,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
anthro_8-0-0,Conservation,Conservator,Conservation Treatment Information,"",y,n,authority,person/local; organization/local,conservation,conservator
anthro_8-0-0,Conservation,Other treatment party name,Conservation Treatment Information,"",n,y,authority,person/local; organization/local,conservation,otherParty
anthro_8-0-0,Exhibition,Sponsor,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,sponsor
anthro_8-0-0,Exhibition,Organizer,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,organizer
anthro_8-0-0,Exhibition,Venue name,Exhibition Information,"",n,y,authority,organization/local; organization/ulan; location/local; location/offsite; place/local; place/tgn,exhibition,venue
anthro_8-0-0,Exhibition,Working group member name,Exhibition Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,exhibitionPerson
anthro_8-0-0,Exhibition,Bibliographic reference,Exhibition Information,"",n,y,authority,citation/local; citation/worldcat,exhibition,exhibitionReference
anthro_8-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
anthro_8-0-0,Intake,Current owner,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
anthro_8-0-0,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
anthro_8-0-0,Intake,Field collection source,Object Collection Information,"",y,n,authority,person/local; concept/ethculture,intake,fieldCollectionSource
anthro_8-0-0,Intake,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,intake,fieldCollector
anthro_8-0-0,Intake,Insurer,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
anthro_8-0-0,Intake,Current location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; place/local,intake,currentLocation
anthro_8-0-0,Intake,Condition check assessor,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
anthro_8-0-0,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
anthro_8-0-0,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
anthro_8-0-0,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
anthro_8-0-0,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
anthro_8-0-0,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
anthro_8-0-0,Person,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,person,assocPerson
anthro_8-0-0,Person,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPersonCitation
anthro_8-0-0,Person,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPeopleCitation
anthro_8-0-0,Person,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,person,assocOrganization
anthro_8-0-0,Person,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocOrganizationCitation
anthro_8-0-0,Person,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion; concept/archculture,person,assocConcept
anthro_8-0-0,Person,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocConceptCitation
anthro_8-0-0,Person,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,person,assocPlace
anthro_8-0-0,Person,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocPlaceCitation
anthro_8-0-0,Person,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event; chronology/fieldcollection,person,assocChronology
anthro_8-0-0,Person,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,person,assocChronologyCitation
anthro_8-0-0,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
anthro_8-0-0,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
anthro_8-0-0,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
anthro_8-0-0,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
anthro_8-0-0,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
anthro_8-0-0,Place,Assertion by,Cultural Affiliation Lines of Evidence,Assertion Information,n,y,authority,person/local; person/ulan; organization/local; organization/ulan,place,assertionSourceBy
anthro_8-0-0,Place,Assertion reference name,Cultural Affiliation Lines of Evidence,Assertion Information,n,y,authority,citation/local; citation/worldcat,place,assertionReference
anthro_8-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
anthro_8-0-0,Place,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,place,assocPerson
anthro_8-0-0,Place,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPersonCitation
anthro_8-0-0,Place,Associated people citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPeopleCitation
anthro_8-0-0,Place,Associated organization,Associated Authorities,"",n,y,authority,organization/local; organization/ulan,place,assocOrganization
anthro_8-0-0,Place,Associated organization citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocOrganizationCitation
anthro_8-0-0,Place,Associated concept,Associated Authorities,"",n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion; concept/archculture,place,assocConcept
anthro_8-0-0,Place,Associated concept citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocConceptCitation
anthro_8-0-0,Place,Associated place,Associated Authorities,"",n,y,authority,place/local; place/tgn,place,assocPlace
anthro_8-0-0,Place,Associated place citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocPlaceCitation
anthro_8-0-0,Place,Associated event/era,Associated Authorities,"",n,y,authority,chronology/era; chronology/event; chronology/fieldcollection,place,assocChronology
anthro_8-0-0,Place,Associated event/era citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,place,assocChronologyCitation
anthro_8-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
anthro_8-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
anthro_8-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
anthro_8-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
anthro_8-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
anthro_8-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
anthro_8-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
anthro_8-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
anthro_8-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
anthro_8-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
anthro_8-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
anthro_8-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
anthro_8-0-0,Taxon,Term source name,Taxonomic Name Information,Source,n,y,authority,citation/local; citation/worldcat,taxon,termSource
anthro_8-0-0,Taxon,Author name,Taxonomic Name Information,"",n,y,authority,person/local; organization/local,taxon,taxonAuthor
anthro_8-0-0,Taxon,Citation,Taxonomic Name Information,"",y,n,authority,citation/local; citation/worldcat,taxon,taxonCitation
anthro_8-0-0,Claim,Claim filed by,Claim Information,"",n,y,authority,person/local; organization/local,claim,claimFiledBy
anthro_8-0-0,Claim,Claim filed on behalf of,Claim Information,"",n,y,authority,person/local; organization/local,claim,claimFiledOnBehalfOf
anthro_8-0-0,Claim,Cultural group involved name,Claim Context,"",n,y,authority,concept/ethculture; concept/archculture,claim,nagpraClaimGroupName
herbarium_2-0-12,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
herbarium_2-0-12,Citation,Publication place,Citation Information,"",n,y,authority,place/local; place/tgn,citation,publicationPlace
herbarium_2-0-12,Citation,Agent name,Citation Information,"",n,y,authority,person/local; person/ulan; organization/local,citation,agent
herbarium_2-0-12,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/activity; concept/material,citation,relatedTerm
herbarium_2-0-12,Object,Hybrid parent name,Object Identification Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbHybridParent
herbarium_2-0-12,Object,Type specimen verified basionym,Object Identification Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbTypeSpecimenBasionym
herbarium_2-0-12,Object,Owner,Object History and Association Information,Object Owner's Contribution Information,y,n,authority,person/local; organization/local,collectionobject,owner
herbarium_2-0-12,Object,Reference,Reference Information,Reference Information,n,y,authority,citation/local; citation/worldcat,collectionobject,reference
herbarium_2-0-12,Object,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,collectionobject,fieldCollector
herbarium_2-0-12,Object,Associated taxon name,Object Collection Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbAssocTaxon
herbarium_2-0-12,Object,Measured by,Object Description Information,"",n,y,authority,person/local; organization/local,collectionobject,measuredBy
herbarium_2-0-12,Object,Object count counted by,Object Identification Information,"",n,y,authority,person/local; person/ulan,collectionobject,objectCountCountedBy
herbarium_2-0-12,Object,Content concept,Object Description Information,Content,y,n,authority,concept/associated; concept/material,collectionobject,contentConcept
herbarium_2-0-12,Object,Content person,Object Description Information,Content,y,n,authority,person/local; person/ulan,collectionobject,contentPerson
herbarium_2-0-12,Object,Content organization,Object Description Information,Content,y,n,authority,organization/local; organization/ulan,collectionobject,contentOrganization
herbarium_2-0-12,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
herbarium_2-0-12,Exhibition,Sponsor,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,sponsor
herbarium_2-0-12,Exhibition,Organizer,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,organizer
herbarium_2-0-12,Exhibition,Venue name,Exhibition Information,"",n,y,authority,organization/local; organization/ulan; location/local; location/offsite; place/local; place/tgn,exhibition,venue
herbarium_2-0-12,Exhibition,Working group member name,Exhibition Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,exhibitionPerson
herbarium_2-0-12,Exhibition,Bibliographic reference,Exhibition Information,"",n,y,authority,citation/local; citation/worldcat,exhibition,exhibitionReference
herbarium_2-0-12,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
herbarium_2-0-12,Intake,Current owner,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
herbarium_2-0-12,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
herbarium_2-0-12,Intake,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,intake,fieldCollector
herbarium_2-0-12,Intake,Insurer,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
herbarium_2-0-12,Intake,Current location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; place/local,intake,currentLocation
herbarium_2-0-12,Intake,Condition check assessor,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
herbarium_2-0-12,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
herbarium_2-0-12,Loan In,Taxonomy,Loan In Information,"",y,n,authority,taxon/local; taxon/common,loanin,taxonomy
herbarium_2-0-12,Loan Out,Taxonomy,Loan Out Information,"",y,n,authority,taxon/local; taxon/common,loanout,taxonomy
herbarium_2-0-12,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
herbarium_2-0-12,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
herbarium_2-0-12,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
herbarium_2-0-12,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
herbarium_2-0-12,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
herbarium_2-0-12,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
herbarium_2-0-12,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
herbarium_2-0-12,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
herbarium_2-0-12,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
herbarium_2-0-12,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
herbarium_2-0-12,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
herbarium_2-0-12,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
herbarium_2-0-12,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
